	treat_supervised	automatic_type	type	report_problem	automatic_AL	AL	automatic_AL_axe	optical_state	model	Date	Hour	condition	drug	tolerance	bead	cell	couple	main_axis	stiffness (N/m)	theorical_contact_force (N)	theorical_distance_Press (m)	theorical_speed_Press (m/s)	theorical_freq_Press (Hz)	time_segment_pause_Wait1 (s)	theorical_distance_Pull (m)	theorical_speed_Pull (m/s)	theorical_freq_Pull (Hz)	baseline_origin_press (N)	baseline_corrected_press (pN)	std_origin_press (N)	std_corrected_press (pN)	slope (pN/nm)	error (pN/nm)	contact_point_index	contact_point_value  (pN)	force_min_press_index	force_min_press_value (pN)	force_min_curve_index	force_min_curve_value (pN)	time_min_curve_index	time_min_curve_value (s)	point_release_index	point_release_value (pN)	force_max_pull_index	force_max_pull_value (pN)	force_max_curve_index	force_max_curve_value (pN)	transition_point_index	transition_point_value (pN)	point_return_endline_index	point_return_endline_value (pN)	Pente (pN/nm)	jump_force_start_pull (pN)	jump_force_end_pull (pN)	jump_nb_points_start	jump_nb_points_end	jump_time_start_pull (s)	jump_time_end_pull (s)	jump_distance_start_pull (nm)	slope_fitted_classification_max	slope_fitted_classification_release	slope_fitted_classification_max_transition	slope_fitted_classification_return_endline	jump_distance_end_pull (nm)	relative_path	transition_point_value	valid_fit_press	valid_fit_pull
b2c2-2021.06.07-14.40.32.996	False	FTU	FTU	False	No	No	['-z']	No_correction	linear	2021.06.07	14.40.32.996	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.665E+01	-1.563E-03	3.471E-13	3.471E-01	-1.01E+02	9.42E-01	20250	-0.4801518370000004	20533	-14.615348837000003	150	-16.848726837	150	10.09953785938	323	-0.2573568370000023	505	6.312199162999998	505	6.312199162999998	517	4.846758162999999	1609	1.381773902017332	0.16675720957642906	5.364144071230461	3.681670241228036	182.0	1104.0	0.08886719000000001	0.53906253	160.61832684106776	0.027144263795349694	0.05223710703287406	-0.009253264751570726	-0.002147178496620023	1079.8626501756225	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.40.32.996.txt	NaN	False	False
b1c1-2021.06.07-14.25.34.805	False	NAD	NAD	False	No	No	['+y', '-z']	No_correction	linear	2021.06.07	14.25.34.805	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.705E+01	-5.495E-03	3.762E-13	3.762E-01	-1.97E+01	4.44E-02	14861	0.20387103699999418	16278	-15.035456963000003	133	-15.563696963000005	133	8.01360785938	1513	-0.24200496300000565	1138	-1.100716963000006	11684	1.545461036999993	NaN	NaN	NaN	NaN	0.5035321247441277	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.25.34.805.txt	NaN	False	False
b2c2-2021.06.07-14.39.12.536	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.39.12.536	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.644E+01	5.944E-03	3.964E-13	3.964E-01	-5.32E+01	3.27E-01	19855	-0.811306038999995	20317	-15.007650038999994	150	-18.270492038999997	150	9.99406885938	368	-0.40431703899999305	195	-10.671562038999992	546	3.610058961000006	NaN	NaN	NaN	NaN	0.1860619550411258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.39.12.536.txt	NaN	False	False
b1c1-2021.06.07-14.28.30.039	False	AD	AD	False	No	No	['-y', '+z']	No_correction	linear	2021.06.07	14.28.30.039	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.640E+01	2.420E-03	3.546E-13	3.546E-01	-6.91E+00	5.14E-02	19533	-0.288206176999999	21347	-15.395412176999999	153	-16.820650176999997	153	10.49846185938	1746	-0.4425951769999969	2142	12.252545423	2142	12.252545423	2153	-0.42092317699999754	2176	1.2326695512132175	0.9486904150831084	11.603125291006123	10.028353070364771	396.0	34.0	0.19335940000000007	0.016601499999999936	422.2050026707293	0.03755849491952142	0.029392239259728642	-0.11585418075169573	-0.1346044510181295	5.899973692488857	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.28.30.039.txt	NaN	False	False
b1c1-2021.06.07-14.28.49.963	False	AD	AD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.28.49.963	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.653E+01	-2.816E-03	4.374E-13	4.374E-01	-6.35E+01	1.32E-01	19625	-0.37354758000000426	20109	-15.192013580000001	158	-19.124003580000007	158	9.896408859380001	383	-0.5504785800000029	641	5.624547419999996	641	5.624547419999996	694	3.0686054199999977	735	1.7099642747938641	0.1934096617520755	5.225240488370421	3.093494501841536	258.0	94.0	0.12597656000000002	0.045898439999999985	232.48688475840754	0.010261084980437735	0.05660333822845372	-0.027683522113513024	-0.013881864748729262	86.74077340085387	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.28.49.963.txt	NaN	False	False
b2c2-2021.06.07-14.40.12.865	False	NAD	NAD	False	No	No	['-y']	No_correction	linear	2021.06.07	14.40.12.865	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.639E+01	-6.905E-03	4.565E-13	4.565E-01	-1.06E+02	6.68E-01	20321	-0.4653253950000056	20621	-15.846529395000005	198	-20.59166139500001	198	10.16592085938	361	-1.0759493950000056	205	-8.238422395000006	599	4.889318604999993	NaN	NaN	NaN	NaN	0.17323823706502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.40.12.865.txt	NaN	False	False
b1c1-2021.06.07-14.28.09.511	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.28.09.511	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.639E+01	-1.485E-02	3.968E-13	3.968E-01	-5.00E+01	8.49E-02	19158	-0.7985352790000144	19869	-15.344801279000015	26	-16.777831279000015	26	9.71483135938	513	-0.2996612790000135	117	-12.367389279000014	576	1.7503587209999838	NaN	NaN	NaN	NaN	0.24619861847123106	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.28.09.511.txt	NaN	False	False
b1c1-2021.06.07-14.25.49.977	False	FTU	FTU	False	No	No	['+z']	No_correction	linear	2021.06.07	14.25.49.977	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.703E+01	2.218E-02	3.672E-13	3.672E-01	-8.48E+00	3.55E-02	9219	-0.4052800149999778	12049	-15.049182014999975	19	-16.245857014999974	19	5.893057359379999	932	-0.8012250149999762	2728	18.037062885000022	2728	18.037062885000022	2888	16.482717785000023	2932	1.1048642675692748	0.3586622823826773	18.22713380203083	16.788957927418558	1796.0	204.0	0.8769531300000002	0.09960939999999985	1817.751144028538	0.0029989164307389136	0.0070563609779368125	-0.14076450853521014	-0.13184777159972183	148.7980612327574	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.25.49.977.txt	NaN	False	False
b1c1-2021.06.07-14.26.28.800	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.26.28.800	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.684E+01	-3.874E-03	4.055E-13	4.055E-01	-7.63E+01	3.06E-01	18749	-0.2091054920000026	20348	-14.895747492000005	169	-17.630270492000005	169	10.01847385938	1438	-0.098507492000003	1402	-0.4184074920000053	12161	1.7343175079999977	NaN	NaN	NaN	NaN	0.20030891941062134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.26.28.800.txt	NaN	False	False
b1c1-2021.06.07-14.29.09.692	False	NAD	NAD	False	No	No	['+y', '-z']	No_correction	linear	2021.06.07	14.29.09.692	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.644E+01	-2.206E-02	3.946E-13	3.946E-01	-2.19E+01	4.10E-02	18553	-0.7720621790000224	19711	-15.276055179000025	180	-19.57896717900002	180	9.71280485938	1297	-0.6230801790000212	1482	-0.5919601790000221	5951	1.8719468209999783	NaN	NaN	NaN	NaN	0.6568299424611053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.29.09.692.txt	NaN	False	False
b2c2-2021.06.07-14.40.53.124	False	FTU	FTU	False	No	No	['-z']	No_correction	linear	2021.06.07	14.40.53.124	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.610E+01	1.503E-02	4.154E-13	4.154E-01	-1.21E+02	1.42E+00	20282	0.5011939460000139	20528	-15.131852053999985	196	-20.84507205399998	196	10.11953585938	355	-0.49701105399998363	584	5.203770946000016	584	5.203770946000016	838	2.375509946000015	1195	1.6602049791928128	0.1793729547665601	4.237918531420265	2.2154267782631076	229.0	611.0	0.11181642	0.29833983	185.06961395846338	0.026090418461185132	0.04144601573309922	-0.0031323664308852747	-0.003095892459410469	597.3366179235236	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.40.53.124.txt	NaN	False	False
b2c2-2021.06.07-14.39.32.531	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.39.32.531	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.663E+01	9.415E-03	3.986E-13	3.986E-01	-1.01E+02	5.85E-01	19981	-0.26106725699999156	20258	-14.84234725699999	149	-17.063672256999993	149	9.96477185938	362	-0.5588482569999916	117	-12.568316256999987	470	3.7855427430000095	NaN	NaN	NaN	NaN	0.18517134493047546	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.39.32.531.txt	NaN	False	False
b2c2-2021.06.07-14.37.36.051	False	FTU	FTU	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.37.36.051	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.634E+01	1.145E-02	4.070E-13	4.070E-01	-1.19E+02	1.10E+00	12466	-0.33967062099998907	12722	-15.354698620999988	204	-19.717118620999987	204	6.31191445938	351	-0.81070862099999	481	5.445170379000012	481	5.445170379000012	579	4.109819379000012	1197	1.6167694644498396	0.18061364826173862	4.516259778505094	2.5327862052173873	130.0	716.0	0.06347656000000002	0.34960938	122.99566031410723	0.022607257977150703	0.03627849162865178	-0.005674359264852537	-0.00142123706765967	700.5249172749318	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.37.36.051.txt	NaN	False	False
